LatinName_Matt,LatinName_Helen,EnglishName
Achalarus casica,Achalarus casica,Desert Cloudywing
Adelpha bredowii,Adelpha bredowii,California Sister
Adopaeoides prittwitzi,Adopaeoides prittwitzi,Sunrise Skipper
Agathymus aryxna,Agathymus aryxna,Arizona Giant-Skipper
Agraulis vanillae,Agraulis vanillae,Gulf Fritillary
Agriades glandon,Agriades glandon,Arctic Blue
Amblyscirtes aenus,Amblyscirtes aenus,Bronze Roadside-Skipper
Amblyscirtes cassus,Amblyscirtes cassus,Cassus Roadside-Skipper
Amblyscirtes elissa,Amblyscirtes elissa,Elissa Roadside-Skipper
Amblyscirtes eos,Amblyscirtes eos,Dotted Roadside-Skipper
Amblyscirtes exoteria,Amblyscirtes exoteria,Large Roadside-Skipper
Amblyscirtes fimbriata,Amblyscirtes fimbriata,Orange-edged Roadside-Skipper
Amblyscirtes nereus,Amblyscirtes nereus,Slaty Roadside-Skipper
Amblyscirtes nysa,Amblyscirtes nysa,Nysa Roadside-Skipper
Amblyscirtes oslari,Amblyscirtes oslari,Oslar's Roadside-Skipper
Amblyscirtes phylace,Amblyscirtes phylace,Orange-headed Roadside-Skipper
Amblyscirtes texanae,Amblyscirtes texanae,Texas Roadside-Skipper
Amblyscirtes tolteca,Amblyscirtes tolteca,Toltec Roadside-Skipper
Anaea aidea,Anaea aidea,Tropical Leafwing
Anaea andria,Anaea andria,Goatweed Leafwing
Ancyloxypha arene,Ancyloxypha arene,Tropical Least Skipper
Anteos clorinde,Anteos clorinde,White Angled-Sulphur
Apodemia hepburni,Apodemia hepburni,Hepburn's Metalmark
Apodemia mormo,Apodemia mormo,Mormon Metalmark
Apodemia nais,Apodemia nais,Nais Metalmark
Apodemia palmeri,Apodemia palmeri,Palmer's Metalmark
Appias drusilla,Appias drusilla,Florida White
Arawacus jada,Arawacus jada,Creamy Stripe-streak
Ascia monuste,Ascia monuste,Great Southern White
Asterocampa celtis,Asterocampa celtis,Hackberry Emperor
Asterocampa clyton,Asterocampa clyton,Tawny Emperor
Asterocampa leilia,Asterocampa leilia,Empress Leilia
Atalopedes campestris,Atalopedes campestris,Sachem
Atlides halesus,Atlides halesus,Great Purple Hairstreak
Atrytonopsis cestus,Atrytonopsis cestus,Cestus Skipper
Atrytonopsis edwardsii,Atrytonopsis edwardsii,Sheep Skipper
Atrytonopsis lunus,Atrytonopsis lunus,Moon-marked Skipper
Atrytonopsis pittacus,Atrytonopsis pittacus,White-barred Skipper
Atrytonopsis python,Atrytonopsis python,Python Skipper
Autochton cellus,Autochton cellus,Golden Banded-Skipper
Battus philenor,Battus philenor,Pipevine Swallowtail
Brephidium exile,Brephidium exile,Western Pygmy-Blue
Cabares potrillo,Cabares potrillo,Potrillo Skipper
Calephelis arizonensis,Calephelis arizonensis,Arizona Metalmark
Calephelis nemesis,Calephelis nemesis,Fatal Metalmark
Callophrys dumetorum,NA,NA
Callophrys gryneus,Callophrys gryneus,Juniper Hairstreak
Callophrys spinetorum,Callophrys spinetorum,Thicket Hairstreak
Callophrys xami,Callophrys xami,Xami Hairstreak
Calpodes ethlius,Calpodes ethlius,Brazilian Skipper
Celastrina ladon,Celastrina ladon,Spring Azure
Celotes nessus,Celotes nessus,Common Streaky-Skipper
Cercyonis meadii,Cercyonis meadii,Mead's Wood-Nymph
Cercyonis oetus,Cercyonis oetus,Small Wood-Nymph
Cercyonis sthenele,Cercyonis sthenele,Great Basin Wood-Nymph
Chioides catillus,Chioides catillus,White-striped Longtail
Chioides zilpa,Chioides zilpa,Zilpa Longtail
Chiomara asychis,Chiomara asychis,White-patched Skipper
Chlosyne acastus,Chlosyne acastus,Sagebrush Checkerspot
Chlosyne californica,Chlosyne californica,California Patch
Chlosyne cyneas,Chlosyne cyneas,Black Checkerspot
Chlosyne fulvia,Chlosyne fulvia,Fulvia Checkerspot
Chlosyne lacinia,Chlosyne lacinia,Bordered Patch
Chlosyne rosita,Chlosyne rosita,Rosita Patch
Chlosyne theona,Chlosyne theona,Theona Checkerspot
Codatractus arizonensis,Codatractus arizonensis,Arizona Skipper
Codatractus mysie,Codatractus mysie,Valeriana Skipper
Coenonympha tullia,Coenonympha tullia,Common Ringlet
Cogia caicus,Cogia caicus,Gold-costa Skipper
Cogia hippalus,Cogia hippalus,Acacia Skipper
Colias cesonia,Colias cesonia,Southern Dogface
Colias eurytheme,Colias eurytheme,Orange Sulphur
Colias philodice,Colias philodice,Clouded Sulphur
Copaeodes aurantiacus,Copaeodes aurantiacus,Orange Skipperling
Cyllopsis pertepida,Cyllopsis pertepida,Canyonland Satyr
Cyllopsis pyracmon,Cyllopsis pyracmon,Nabokov's Satyr
Danaus eresimus,Danaus eresimus,Soldier
Danaus gilippus,Danaus gilippus,Queen
Danaus plexippus,Danaus plexippus,Monarch
Dymasia dymas,Dymasia dymas,Tiny Checkerspot
Electrostrymon mathewi,Electrostrymon mathewi,Mathew's Groundstreak
Emesis ares,Emesis ares,Ares Metalmark
Emesis zela,Emesis zela,Zela Metalmark
Epargyreus clarus,Epargyreus clarus,Silver-spotted Skipper
Erora quaderna,Erora quaderna,Arizona Hairstreak
Erynnis afranius,Erynnis afranius,Afranius Duskywing
Erynnis brizo,Erynnis brizo,Sleepy Duskywing
Erynnis funeralis,Erynnis funeralis,Funereal Duskywing
Erynnis icelus,Erynnis icelus,Dreamy Duskywing
Erynnis juvenalis,Erynnis juvenalis,Juvenal's Duskywing
Erynnis meridianus,Erynnis meridianus,Meridian Duskywing
Erynnis pacuvius,Erynnis pacuvius,Pacuvius Duskywing
Erynnis scudderi,Erynnis scudderi,Scudder's Duskywing
Erynnis telemachus,Erynnis telemachus,Rocky Mountain Duskywing
Erynnis tristis,Erynnis tristis,Mournful Duskywing
Euchloe hyantis,Euchloe hyantis,Pearly Marble
Euphilotes rita,Euphilotes rita,Rita Blue
Euphilotes spaldingi,Euphilotes spaldingi,Spalding's Blue
Euphydryas chalcedona,Euphydryas chalcedona,Variable Checkerspot
Euptoieta claudia,Euptoieta claudia,Variegated Fritillary
Euptoieta hegesia,Euptoieta hegesia,Mexican Fritillary
Eurema boisduvaliana,Eurema boisduvaliana,Boisduval's Yellow
Eurema daira,Eurema daira,Barred Yellow
Eurema dina,Eurema dina,Dina Yellow
Eurema lisa,Eurema lisa,Little Yellow
Eurema mexicana,Eurema mexicana,Mexican Yellow
Eurema nicippe,Eurema nicippe,Sleepy Orange
Eurema nise,Eurema nise,Mimosa Yellow
Eurema proterpia,Eurema proterpia,Tailed Orange
Everes amyntula,Everes amyntula,Western Tailed-Blue
Everes comyntas,Everes comyntas,Eastern Tailed-Blue
Glaucopsyche lygdamus,Glaucopsyche lygdamus,Silvery Blue
Gyrocheilus patrobas,Gyrocheilus patrobas,Red-bordered Satyr
Heliconius charithonia,Heliconius charithonia,Zebra Heliconian
Heliopetes domicella,Heliopetes domicella,Erichson's White-Skipper
Heliopetes ericetorum,Heliopetes ericetorum,Northern White-Skipper
Hemiargus ceraunus,Hemiargus ceraunus,Ceraunus Blue
Hemiargus isola,Hemiargus isola,Reakirt's Blue
Hesperia comma,Hesperia comma,Common Branded Skipper
Hesperia pahaska,Hesperia pahaska,Pahaska Skipper
Hesperia uncas,Hesperia uncas,Uncas Skipper
Hesperopsis alpheus,Hesperopsis alpheus,Saltbush Sootywing
Hylephila phyleus,Hylephila phyleus,Fiery Skipper
Hypaurotis crysalus,Hypaurotis crysalus,Colorado Hairstreak
Junonia coenia,Junonia coenia,Common Buckeye
Junonia genoveva,Junonia genoveva,Tropical Buckeye
Kricogonia lyside,Kricogonia lyside,Lyside Sulphur
Leptotes marina,Leptotes marina,Marine Blue
Lerema accius,Lerema accius,Clouded Skipper
Lerodea arabus,Lerodea arabus,Violet-clouded Skipper
Lerodea eufala,Lerodea eufala,Eufala Skipper
Libytheana carinenta,Libytheana carinenta,American Snout
Limenitis archippus,Limenitis archippus,Viceroy
Limenitis arthemis,Limenitis arthemis,Red-spotted Admiral
Limenitis weidemeyerii,Limenitis weidemeyerii,Weidemeyer's Admiral
Lycaeides melissa,Lycaeides melissa,Melissa Blue
Lycaena rubidus,Lycaena rubidus,Ruddy Copper
Marpesia petreus,Marpesia petreus,Ruddy Daggerwing
Megathymus streckeri,Megathymus streckeri,Strecker's Giant-Skipper
Megathymus ursus,Megathymus ursus,Ursine Giant-Skipper
Megisto rubricata,Megisto rubricata,Red Satyr
Mestra amymone,Mestra amymone,Common Mestra
Microtia elva,Microtia elva,Elf
Ministrymon leda,Ministrymon leda,Leda Ministreak
Myscelia cyananthe,Myscelia cyananthe,Blackened Bluewing
Nathalis iole,Nathalis iole,Dainty Sulphur
Neophasia menapia,Neophasia menapia,Pine White
Neophasia terlootii,Neophasia terlootii,Chiricahua White
Notamblyscirtes simius,Notamblyscirtes simius,Simius Skipper
Nymphalis antiopa,Nymphalis antiopa,Mourning Cloak
Nymphalis californica,Nymphalis californica,California Tortoiseshell
Nymphalis milberti,Nymphalis milberti,Milbert's Tortoiseshell
Oarisma edwardsii,Oarisma edwardsii,Edwards' Skipperling
Oarisma garita,Oarisma garita,Garita Skipperling
Papilio cresphontes,Papilio cresphontes,Giant Swallowtail
Papilio indra,Papilio indra,Indra Swallowtail
Papilio machaon,NA,NA
Papilio multicaudata,Papilio multicaudata,Two-tailed Swallowtail
Papilio polyxenes,Papilio polyxenes,Black Swallowtail
Papilio rutulus,Papilio rutulus,Western Tiger Swallowtail
Paramacera allyni,Paramacera allyni,Pine Satyr
Paratrytone snowi,Paratrytone snowi,Snow's Skipper
Phoebis agarithe,Phoebis agarithe,Large Orange Sulphur
Phoebis philea,Phoebis philea,Orange-barred Sulphur
Phoebis sennae,Phoebis sennae,Cloudless Sulphur
Pholisora catullus,Pholisora catullus,Common Sootywing
Phyciodes campestris,Phyciodes campestris,Field Crescent
Phyciodes mylitta,Phyciodes mylitta,Mylitta Crescent
Phyciodes picta,Phyciodes picta,Painted Crescent
Phyciodes texana,Phyciodes texana,Texan Crescent
Phyciodes tharos,Phyciodes tharos,Pearl Crescent
Phyciodes vesta,Phyciodes vesta,Vesta Crescent
Pieris napi,NA,NA
Pieris rapae,Pieris rapae,Cabbage White
Piruna cingo,Piruna cingo,Many-spotted Skipperling
Piruna pirus,Piruna pirus,Russet Skipperling
Piruna polingi,Piruna polingi,Four-spotted Skipperling
Plebejus acmon,Plebejus acmon,Acmon Blue
Plebejus icarioides,Plebejus icarioides,Boisduval's Blue
Plebejus saepiolus,Plebejus saepiolus,Greenish Blue
Poanes taxiles,Poanes taxiles,Taxiles Skipper
Poladryas arachne,Poladryas arachne,Arachne Checkerspot
Polites carus,Polites carus,Carus Skipper
Polites draco,Polites draco,Draco Skipper
Polites themistocles,Polites themistocles,Tawny-edged Skipper
Polygonia gracilis,NA,NA
Polygonia interrogationis,Polygonia interrogationis,Question Mark
Polygonia satyrus,Polygonia satyrus,Satyr Comma
Polygonus leo,Polygonus leo,Hammock Skipper
Pontia beckerii,Pontia beckerii,Becker's White
Pontia protodice,Pontia protodice,Checkered White
Pyrgus albescens,Pyrgus albescens,White Checkered-Skipper
Pyrgus communis,Pyrgus communis,Common Checkered-Skipper
Pyrgus philetas,Pyrgus philetas,Desert Checkered-Skipper
Pyrgus scriptura,Pyrgus scriptura,Small Checkered-Skipper
Pyrrhopyge araxes,Pyrrhopyge araxes,Dull Firetip
Speyeria atlantis,NA,NA
Staphylus ceos,Staphylus ceos,Golden-headed Scallopwing
Strymon istapa,Strymon istapa,Mallow Scrub-Hairstreak
Strymon melinus,Strymon melinus,Gray Hairstreak
Systasea pulverulenta,Systasea pulverulenta,Texas Powdered-Skipper
Systasea zampa,Systasea zampa,Arizona Powdered-Skipper
Texola elada,Texola elada,Elada Checkerspot
Thorybes drusius,Thorybes drusius,Drusius Cloudywing
Thorybes mexicanus,Thorybes mexicanus,Mexican Cloudywing
Thorybes pylades,Thorybes pylades,Northern Cloudywing
Urbanus dorantes,Urbanus dorantes,Dorantes Longtail
Urbanus proteus,Urbanus proteus,Long-tailed Skipper
Vanessa annabella,Vanessa annabella,West Coast Lady
Vanessa atalanta,Vanessa atalanta,Red Admiral
Vanessa cardui,Vanessa cardui,Painted Lady
Vanessa virginiensis,Vanessa virginiensis,American Lady
Zestusa dorus,Zestusa dorus,Short-tailed Skipper
Zizula cyna,Zizula cyna,Cyna Blue
NA,Dymasia dymas chara,Dymasia dymas chara
NA,Limenitis arthemis astyanax,Red-spotted Purple
NA,Cyllopsis pyracmon henshawi,'Henshaw's' Nabokov's Satyr
NA,Junonia genoveva (form nigrosuffusa),Tropical Buckeye (form nigrosuffusa)
NA,Callophrys gryneus siva,'Siva' Juniper Hairstreak
NA,Euphydryas chalcedona chalcedona,'Chalcedon' Variable Checkerspot
NA,Callophrys dumetorum apama,'Canyon' Bramble Hairstreak
NA,Speyeria atlantis hesperis,'Hesperis' Atlantis Fritillary
NA,Anthocharis cethura pima,Pima Orangetip
NA,Anthocharis sara,Sara Orangetip
NA,Euphilotes battoides,Square-spotted Blue
NA,Erynnis juvenalis clitus,'Arizona' Juvenal's Duskywing
NA,Pieris napi marginalis,'Margined' Mustard White
NA,Callophrys augustinus,Brown Elfin
NA,Euchloe hyantis lotta,'Desert' Pearly Marble
NA,Pontia sisymbrii,Spring White
NA,Pyrgus oileus,Tropical Checkered-Skipper
NA,Coenonympha tullia ochracea,'Ochre' Common Ringlet
NA,Euphydryas chalcedona anicia,'Anicia' Variable Checkerspot
NA,Papilio machaon bairdii,'Baird's' Old World Swallowtail
NA,Polygonia gracilis zephyrus,'Zephyr' Hoary Comma
NA,Speyeria atlantis nausicaa,'Southwestern' Atlantis Fritillary
