family,genus,species,lower,upper,unit
Hesperiidae (Skippers),Apyrrothrix,araxes,4.5,5.7,cm
Hesperiidae (Skippers),Phocides,pigmalion,4.8,7,cm
Hesperiidae (Skippers),Phocides,belus,NA,NA,NA
Hesperiidae (Skippers),Phocides,palemon,4.2,6.3,cm
Hesperiidae (Skippers),Phocides,urania,NA,NA,NA
Hesperiidae (Skippers),Proteides,mercurius,5.8,7,cm
Hesperiidae (Skippers),Epargyreus,zestos,4.5,6,cm
Hesperiidae (Skippers),Epargyreus,clarus,4.5,6.7,cm
Hesperiidae (Skippers),Epargyreus,spanna,NA,NA,NA
Hesperiidae (Skippers),Epargyreus,exadeus,4.9,6.2,cm
Hesperiidae (Skippers),Polygonus,leo,4.3,5.9,cm
Hesperiidae (Skippers),Polygonus,savigny,3.8,4.5,cm
Hesperiidae (Skippers),Chioides,albofasciatus,3.9,5.4,cm
Hesperiidae (Skippers),Chioides,catillus,NA,NA,NA
Hesperiidae (Skippers),Chioides,zilpa,3.9,5.9,cm
Hesperiidae (Skippers),Chioides,ixion,NA,NA,NA
Hesperiidae (Skippers),Aguna,asander,3.8,5.6,cm
Hesperiidae (Skippers),Aguna,claxon,3.8,4.5,cm
Hesperiidae (Skippers),Aguna,metophis,3.7,4.8,cm
Hesperiidae (Skippers),Typhedanus,undulatus,4.2,4.8,cm
Hesperiidae (Skippers),Typhedanus,ampyx,NA,NA,NA
Hesperiidae (Skippers),Polythrix,octomaculata,3.5,4.6,cm
Hesperiidae (Skippers),Polythrix,mexicanus,3.5,4.1,cm
Hesperiidae (Skippers),Polythrix,asine,NA,NA,NA
Hesperiidae (Skippers),Polythrix,caunus,NA,NA,NA
Hesperiidae (Skippers),Zestusa,dorus,3.5,4.2,cm
Hesperiidae (Skippers),Codatractus,carlos,NA,NA,NA
Hesperiidae (Skippers),Codatractus,alcaeus,4.2,5.7,cm
Hesperiidae (Skippers),Codatractus,yucatanus,NA,NA,NA
Hesperiidae (Skippers),Codatractus,arizonensis,4.5,5.1,cm
Hesperiidae (Skippers),Codatractus,valeriana,NA,NA,NA
Hesperiidae (Skippers),Urbanus,proteus,4.5,6,cm
Hesperiidae (Skippers),Urbanus,viterboana,NA,NA,NA
Hesperiidae (Skippers),Urbanus,belli,NA,NA,NA
Hesperiidae (Skippers),Urbanus,pronus,3.4,4.4,cm
Hesperiidae (Skippers),Urbanus,esmeraldus,3.5,4.2,cm
Hesperiidae (Skippers),Urbanus,evona,NA,NA,NA
Hesperiidae (Skippers),Urbanus,dorantes,3.7,5.1,cm
Hesperiidae (Skippers),Urbanus,teleus,3.5,3.9,cm
Hesperiidae (Skippers),Urbanus,tanna,3.3,3.8,cm
Hesperiidae (Skippers),Urbanus,simplicius,3.8,5,cm
Hesperiidae (Skippers),Urbanus,procne,3.7,4.8,cm
Hesperiidae (Skippers),Urbanus,doryssus,3,4.8,cm
Hesperiidae (Skippers),Urbanus,albimargo,NA,NA,NA
Hesperiidae (Skippers),Astraptes,fulgerator,4.8,6.1,cm
Hesperiidae (Skippers),Astraptes,egregius,3.8,4.5,cm
Hesperiidae (Skippers),Astraptes,alardus,5.1,6.4,cm
Hesperiidae (Skippers),Astraptes,habana,NA,NA,NA
Hesperiidae (Skippers),Astraptes,alector,5.1,6.4,cm
Hesperiidae (Skippers),Astraptes,anaphus,5.1,6.4,cm
Hesperiidae (Skippers),Autochton,cellus,3.5,5.1,cm
Hesperiidae (Skippers),Autochton,pseudocellus,3.8,4.3,cm
Hesperiidae (Skippers),Autochton,cincta,NA,NA,NA
Hesperiidae (Skippers),Autochton,vectilucis,NA,NA,NA
Hesperiidae (Skippers),Autochton,neis,NA,NA,NA
Hesperiidae (Skippers),Autochton,longipennis,NA,NA,NA
Hesperiidae (Skippers),Achalarus,lyciades,4.5,4.9,cm
Hesperiidae (Skippers),Achalarus,casica,3.8,5.1,cm
Hesperiidae (Skippers),Achalarus,tehuacana,NA,NA,NA
Hesperiidae (Skippers),Achalarus,albociliatus,NA,NA,NA
Hesperiidae (Skippers),Achalarus,toxeus,4.2,5,cm
Hesperiidae (Skippers),Thessia,jalapus,4.2,5,cm
Hesperiidae (Skippers),Thorybes,drusius,3.8,4.5,cm
Hesperiidae (Skippers),Thorybes,pylades,3.2,4.7,cm
Hesperiidae (Skippers),Thorybes,bathyllus,3.3,5,cm
Hesperiidae (Skippers),Thorybes,confusis,3.8,4.8,cm
Hesperiidae (Skippers),Thorybes,diversus,3.2,3.8,cm
Hesperiidae (Skippers),Thorybes,mexicana,2.9,3.5,cm
Hesperiidae (Skippers),Cabares,potrillo,2.9,4.3,cm
Hesperiidae (Skippers),Celaenorrhinus,fritzgaertneri,4.2,5,cm
Hesperiidae (Skippers),Celaenorrhinus,stallingsi,3.5,4.5,cm
Hesperiidae (Skippers),Celaenorrhinus,stola,NA,NA,NA
Hesperiidae (Skippers),Spathilepia,clonius,4.2,4.6,cm
Hesperiidae (Skippers),Cogia,hippalus,3.5,4.8,cm
Hesperiidae (Skippers),Cogia,outis,3,4.3,cm
Hesperiidae (Skippers),Cogia,caicus,4.2,4.5,cm
Hesperiidae (Skippers),Cogia,calchas,3,4.5,cm
Hesperiidae (Skippers),Bungalotis,quadratum,NA,NA,NA
Hesperiidae (Skippers),Arteurotia,tractipennis,2.9,3.5,cm
Hesperiidae (Skippers),Polyctor,cleta,NA,NA,NA
Hesperiidae (Skippers),Polyctor,enops,NA,NA,NA
Hesperiidae (Skippers),Nisoniades,rubescens,2.5,3.7,cm
Hesperiidae (Skippers),Pellicia,arina,2.5,3.8,cm
Hesperiidae (Skippers),Pellicia,angra,2.9,3.8,cm
Hesperiidae (Skippers),Pellicia,dimidiata,2.2,3,cm
Hesperiidae (Skippers),Noctuana,stator,2.5,3.3,cm
Hesperiidae (Skippers),Noctuana,lactifera,NA,NA,NA
Hesperiidae (Skippers),Windia,windi,3.2,3.8,cm
Hesperiidae (Skippers),Bolla,imbras,NA,NA,NA
Hesperiidae (Skippers),Bolla,brennus,2.2,3.1,cm
Hesperiidae (Skippers),Bolla,eusebius,NA,NA,NA
Hesperiidae (Skippers),Bolla,clytius,2.2,2.9,cm
Hesperiidae (Skippers),Staphylus,ceos,2.4,2.9,cm
Hesperiidae (Skippers),Staphylus,vulgata,NA,NA,NA
Hesperiidae (Skippers),Staphylus,hayhurstii,2.5,3.2,cm
Hesperiidae (Skippers),Staphylus,mazans,2.5,3,cm
Hesperiidae (Skippers),Staphylus,ascalaphus,NA,NA,NA
Hesperiidae (Skippers),Staphylus,azteca,NA,NA,NA
Hesperiidae (Skippers),Gorgythion,begga,2.4,2.7,cm
Hesperiidae (Skippers),Sostrata,nordica,2.4,3,cm
Hesperiidae (Skippers),Paches,polla,NA,NA,NA
Hesperiidae (Skippers),Carrhenes,canescens,2.5,3.3,cm
Hesperiidae (Skippers),Carrhenes,fuscescens,NA,NA,NA
Hesperiidae (Skippers),Xenophanes,tryxus,2.9,3.3,cm
Hesperiidae (Skippers),Onenses,hyalophora,NA,NA,NA
Hesperiidae (Skippers),Antigonus,emorsa,NA,NA,NA
Hesperiidae (Skippers),Antigonus,erosus,NA,NA,NA
Hesperiidae (Skippers),Antigonus,nearchus,NA,NA,NA
Hesperiidae (Skippers),Mylon,pelopidas,NA,NA,NA
Hesperiidae (Skippers),Mylon,lassia,NA,NA,NA
Hesperiidae (Skippers),Systasea,pulverulenta,2.4,3.5,cm
Hesperiidae (Skippers),Systasea,zampa,2.5,3.8,cm
Hesperiidae (Skippers),Achlyodes,busirus,NA,NA,NA
Hesperiidae (Skippers),Achlyodes,pallida,NA,NA,NA
Hesperiidae (Skippers),Eantis,tamenund,3.5,4.5,cm
Hesperiidae (Skippers),Eantis,papinianus,NA,NA,NA
Hesperiidae (Skippers),Zera,hyacinthinus,NA,NA,NA
Hesperiidae (Skippers),Quadrus,lugubris,NA,NA,NA
Hesperiidae (Skippers),Atarnes,sallei,NA,NA,NA
Hesperiidae (Skippers),Grais,stigmaticus,4.6,5.4,cm
Hesperiidae (Skippers),Timochares,ruptifasciata,3.8,4.3,cm
Hesperiidae (Skippers),Timochares,trifasciata,NA,NA,NA
Hesperiidae (Skippers),Anastrus,sempiternus,NA,NA,NA
Hesperiidae (Skippers),Anastrus,neaeris,NA,NA,NA
Hesperiidae (Skippers),Ebrietas,anacreon,NA,NA,NA
Hesperiidae (Skippers),Helias,cama,NA,NA,NA
Hesperiidae (Skippers),Theagenes,aegides,NA,NA,NA
Hesperiidae (Skippers),Chiomara,georgina,2.9,3.8,cm
Hesperiidae (Skippers),Chiomara,mithrax,NA,NA,NA
Hesperiidae (Skippers),Gesta,invisus,2.4,3.5,cm
Hesperiidae (Skippers),Ephyriades,zephodes,NA,NA,NA
Hesperiidae (Skippers),Ephyriades,arcas,NA,NA,NA
Hesperiidae (Skippers),Ephyriades,brunnea,4.2,4.8,cm
Hesperiidae (Skippers),Erynnis,icelus,2.9,3.8,cm
Hesperiidae (Skippers),Erynnis,brizo,3.2,4.5,cm
Hesperiidae (Skippers),Erynnis,juvenalis,3.2,4.9,cm
Hesperiidae (Skippers),Erynnis,telemachus,3.5,4.5,cm
Hesperiidae (Skippers),Erynnis,propertius,3.5,4.5,cm
Hesperiidae (Skippers),Erynnis,meridianus,4.2,4.8,cm
Hesperiidae (Skippers),Erynnis,scudderi,3.2,3.5,cm
Hesperiidae (Skippers),Erynnis,horatius,3.6,4.9,cm
Hesperiidae (Skippers),Erynnis,tristis,3.2,4.9,cm
Hesperiidae (Skippers),Erynnis,martialis,2.9,4.2,cm
Hesperiidae (Skippers),Erynnis,pacuvius,3.2,3.5,cm
Hesperiidae (Skippers),Erynnis,zarucco,4.2,4.8,cm
Hesperiidae (Skippers),Erynnis,funeralis,3.4,4.5,cm
Hesperiidae (Skippers),Erynnis,baptisiae,NA,NA,NA
Hesperiidae (Skippers),Erynnis,lucilius,3,4.2,cm
Hesperiidae (Skippers),Erynnis,afranius,3.2,3.5,cm
Hesperiidae (Skippers),Erynnis,persius,2.9,4.2,cm
Hesperiidae (Skippers),Aethilla,lavochrea,NA,NA,NA
Hesperiidae (Skippers),Aethilla,echina,NA,NA,NA
Hesperiidae (Skippers),Anisochoria,bacchus,NA,NA,NA
Hesperiidae (Skippers),Pyrgus,centaureae,2.5,3.3,cm
Hesperiidae (Skippers),Pyrgus,ruralis,2.5,2.9,cm
Hesperiidae (Skippers),Pyrgus,xanthus,2,2.5,cm
Hesperiidae (Skippers),Pyrgus,scriptura,2,2.5,cm
Hesperiidae (Skippers),Pyrgus,communis,2.5,3.8,cm
Hesperiidae (Skippers),Pyrgus,albescens,2.5,3.8,cm
Hesperiidae (Skippers),Pyrgus,adepta,NA,NA,NA
Hesperiidae (Skippers),Pyrgus,philetas,2.5,2.9,cm
Hesperiidae (Skippers),Pyrgus,oileus,3.2,3.8,cm
Hesperiidae (Skippers),Pyrgus,crisia,NA,NA,NA
Hesperiidae (Skippers),Heliopyrgus,domicella,2.9,3.5,cm
Hesperiidae (Skippers),Heliopyrgus,sublinea,NA,NA,NA
Hesperiidae (Skippers),Heliopetes,ericetorum,3.2,3.8,cm
Hesperiidae (Skippers),Heliopetes,macaira,3.2,3.5,cm
Hesperiidae (Skippers),Heliopetes,laviana,3.5,4.2,cm
Hesperiidae (Skippers),Heliopetes,arsalte,3.7,4.3,cm
Hesperiidae (Skippers),Heliopetes,alana,NA,NA,NA
Hesperiidae (Skippers),Celotes,nessus,2.2,3,cm
Hesperiidae (Skippers),Celotes,limpia,2.5,3.2,cm
Hesperiidae (Skippers),Pholisora,catullus,2.5,3.3,cm
Hesperiidae (Skippers),Pholisora,mejicanus,2.4,3,cm
Hesperiidae (Skippers),Hesperopsis,libya,2.2,3.2,cm
Hesperiidae (Skippers),Hesperopsis,alpheus,2,3.2,cm
Hesperiidae (Skippers),Hesperopsis,gracielae,2,3.2,cm
Hesperiidae (Skippers),Creonpyge,creon,NA,NA,NA
Hesperiidae (Skippers),Carterocephalus,palaemon,2.5,3.2,cm
Hesperiidae (Skippers),Piruna,pirus,2.5,2.9,cm
Hesperiidae (Skippers),Piruna,haferniki,NA,NA,NA
Hesperiidae (Skippers),Piruna,polingii,2.5,3.9,cm
Hesperiidae (Skippers),Piruna,aea,NA,NA,NA
Hesperiidae (Skippers),Piruna,microstictus,2.2,2.5,cm
Hesperiidae (Skippers),Piruna,penaea,NA,NA,NA
Hesperiidae (Skippers),Synapte,malitiosa,2.5,3,cm
Hesperiidae (Skippers),Synapte,pecta,NA,NA,NA
Hesperiidae (Skippers),Synapte,syraces,NA,NA,NA
Hesperiidae (Skippers),Synapte,shiva,NA,NA,NA
Hesperiidae (Skippers),Synapte,salenus,2.5,3.2,cm
Hesperiidae (Skippers),Anthoptus,epictetus,NA,NA,NA
Hesperiidae (Skippers),Corticea,corticea,2.2,2.5,cm
Hesperiidae (Skippers),Zariaspes,mys,NA,NA,NA
Hesperiidae (Skippers),Vinius,tryhana,NA,NA,NA
Hesperiidae (Skippers),Apaustus,gracilis,NA,NA,NA
Hesperiidae (Skippers),Callimormus,saturnus,NA,NA,NA
Hesperiidae (Skippers),Mnasicles,geta,NA,NA,NA
Hesperiidae (Skippers),Vidius,perigenes,2.2,2.9,cm
Hesperiidae (Skippers),Monca,crispinus,1.9,2.2,cm
Hesperiidae (Skippers),Nastra,lherminier,2.5,2.9,cm
Hesperiidae (Skippers),Nastra,neamathla,2.2,2.9,cm
Hesperiidae (Skippers),Nastra,julia,2.4,2.9,cm
Hesperiidae (Skippers),Cymaenes,tripunctus,2.9,3.5,cm
Hesperiidae (Skippers),Cymaenes,alumna,NA,NA,NA
Hesperiidae (Skippers),Cymaenes,trebius,2.1,3.1,cm
Hesperiidae (Skippers),Vehilius,inca,NA,NA,NA
Hesperiidae (Skippers),Vehilius,stictomenes,NA,NA,NA
Hesperiidae (Skippers),Lerema,accius,3.2,4.5,cm
Hesperiidae (Skippers),Lerema,ancillaris,2.5,2.9,cm
Hesperiidae (Skippers),Niconiades,nikko,NA,NA,NA
Hesperiidae (Skippers),Vettius,fantasos,2.7,3.2,cm
Hesperiidae (Skippers),Joanna,joanna,NA,NA,NA
Hesperiidae (Skippers),Perichares,philetes,3.9,4.3,cm
Hesperiidae (Skippers),Rhinthon,osca,3.5,4.2,cm
Hesperiidae (Skippers),Rhinthon,bushi,NA,NA,NA
Hesperiidae (Skippers),Decinea,percosius,2.2,3.5,cm
Hesperiidae (Skippers),Decinea,decinea,NA,NA,NA
Hesperiidae (Skippers),Orthos,lycortas,NA,NA,NA
Hesperiidae (Skippers),Conga,chydaea,2.4,3,cm
Hesperiidae (Skippers),Ancyloxypha,numitor,2.2,2.9,cm
Hesperiidae (Skippers),Ancyloxypha,arene,1.9,2.7,cm
Hesperiidae (Skippers),Oarisma,garita,1.9,3,cm
Hesperiidae (Skippers),Oarisma,poweshiek,2.5,3.2,cm
Hesperiidae (Skippers),Oarisma,edwardsii,2.2,2.9,cm
Hesperiidae (Skippers),Copaeodes,aurantiaca,1.9,2.9,cm
Hesperiidae (Skippers),Copaeodes,minima,1.6,2.2,cm
Hesperiidae (Skippers),Adopaeoides,prittwitzi,2.2,2.5,cm
Hesperiidae (Skippers),Thymelicus,lineola,2.5,2.9,cm
Hesperiidae (Skippers),Hylephila,phyleus,3.2,3.8,cm
Hesperiidae (Skippers),Pseudocopaeodes,eunus,2.5,3.2,cm
Hesperiidae (Skippers),Stinga,morrisoni,2.5,2.9,cm
Hesperiidae (Skippers),Hesperia,uncas,2.9,4.2,cm
Hesperiidae (Skippers),Hesperia,juba,3.2,4.2,cm
Hesperiidae (Skippers),Hesperia,comma,2.2,3,cm
Hesperiidae (Skippers),Hesperia,assiniboia,2.1,3,cm
Hesperiidae (Skippers),Hesperia,colorado,NA,NA,NA
Hesperiidae (Skippers),Hesperia,woodgatei,3.2,4.3,cm
Hesperiidae (Skippers),Hesperia,ottoe,3.2,4.3,cm
Hesperiidae (Skippers),Hesperia,leonardus,3.2,4.5,cm
Hesperiidae (Skippers),Hesperia,pahaska,3.2,4.2,cm
Hesperiidae (Skippers),Hesperia,columbia,2.2,3.4,cm
Hesperiidae (Skippers),Hesperia,metea,2.9,3.5,cm
Hesperiidae (Skippers),Hesperia,viridis,2.5,3.8,cm
Hesperiidae (Skippers),Hesperia,attalus,3.5,4.2,cm
Hesperiidae (Skippers),Hesperia,meskei,3.2,3.9,cm
Hesperiidae (Skippers),Hesperia,dacotae,2.5,3.5,cm
Hesperiidae (Skippers),Hesperia,lindseyi,2.9,3.2,cm
Hesperiidae (Skippers),Hesperia,sassacus,3.2,3.5,cm
Hesperiidae (Skippers),Hesperia,miriamae,2.9,3.2,cm
Hesperiidae (Skippers),Hesperia,nevada,2.9,3.7,cm
Hesperiidae (Skippers),Atalopedes,campestris,3.2,4.2,cm
Hesperiidae (Skippers),Atalopedes,mesogramma,NA,NA,NA
Hesperiidae (Skippers),Polites,rhesus,2.5,3.2,cm
Hesperiidae (Skippers),Polites,carus,2.5,3.2,cm
Hesperiidae (Skippers),Polites,peckius,2.5,3.2,cm
Hesperiidae (Skippers),Polites,sabuleti,2.2,3.2,cm
Hesperiidae (Skippers),Polites,draco,2.5,3.2,cm
Hesperiidae (Skippers),Polites,mardon,2.2,2.5,cm
Hesperiidae (Skippers),Polites,themistocles,2.2,3.6,cm
Hesperiidae (Skippers),Polites,baracoa,2.2,2.9,cm
Hesperiidae (Skippers),Polites,origenes,2.9,3.8,cm
Hesperiidae (Skippers),Polites,mystic,2.9,3.8,cm
Hesperiidae (Skippers),Polites,sonora,2.5,3.2,cm
Hesperiidae (Skippers),Polites,vibex,2.5,3.9,cm
Hesperiidae (Skippers),Wallengrenia,egeremet,2.5,3.9,cm
Hesperiidae (Skippers),Wallengrenia,otho,2.4,3.5,cm
Hesperiidae (Skippers),Wallengrenia,drury,NA,NA,NA
Hesperiidae (Skippers),Pompeius,verna,2.7,3.9,cm
Hesperiidae (Skippers),Pompeius,pompeius,NA,NA,NA
Hesperiidae (Skippers),Atrytone,arogos,2.9,3.7,cm
Hesperiidae (Skippers),Choranthus,vitellius,NA,NA,NA
Hesperiidae (Skippers),Choranthus,haitensis,NA,NA,NA
Hesperiidae (Skippers),Choranthus,radians,NA,NA,NA
Hesperiidae (Skippers),Anatrytone,logan,2.5,4.3,cm
Hesperiidae (Skippers),Anatrytone,mazai,NA,NA,NA
Hesperiidae (Skippers),Anatrytone,potosiensis,NA,NA,NA
Hesperiidae (Skippers),Anatrytone,mella,NA,NA,NA
Hesperiidae (Skippers),Problema,byssus,3.7,4.6,cm
Hesperiidae (Skippers),Problema,bulenta,3.9,5.4,cm
Hesperiidae (Skippers),Ochlodes,sylvanoides,2.5,3.2,cm
Hesperiidae (Skippers),Ochlodes,agricola,2.2,2.9,cm
Hesperiidae (Skippers),Ochlodes,yuma,2.9,3.5,cm
Hesperiidae (Skippers),Poanes,hobomok,2.5,4.3,cm
Hesperiidae (Skippers),Poanes,zabulon,3.5,4.2,cm
Hesperiidae (Skippers),Poanes,taxiles,3.2,4.3,cm
Hesperiidae (Skippers),Poanes,massasoit,2.9,3.7,cm
Hesperiidae (Skippers),Poanes,viator,3.2,5.7,cm
Hesperiidae (Skippers),Poanes,aaroni,3.3,4.3,cm
Hesperiidae (Skippers),Poanes,yehl,3.4,4.5,cm
Hesperiidae (Skippers),Poanes,inimica,NA,NA,NA
Hesperiidae (Skippers),Poanes,melane,3.2,3.5,cm
Hesperiidae (Skippers),Stinga,kendamulaza,2.6,3,cm
Hesperiidae (Skippers),Paratrytone,snowi,2.9,3.5,cm
Hesperiidae (Skippers),Quasimellana,eulogius,2.7,3.2,cm
Hesperiidae (Skippers),Euphyes,pilatka,4.5,5.4,cm
Hesperiidae (Skippers),Euphyes,conspicua,3.2,4.2,cm
Hesperiidae (Skippers),Euphyes,berryi,3.5,4.5,cm
Hesperiidae (Skippers),Euphyes,dion,3.7,4.5,cm
Hesperiidae (Skippers),Euphyes,bayensis,3.7,4.4,cm
Hesperiidae (Skippers),Euphyes,dukesi,3.8,4.5,cm
Hesperiidae (Skippers),Euphyes,bimacula,3.2,4.2,cm
Hesperiidae (Skippers),Euphyes,arpa,4.1,4.9,cm
Hesperiidae (Skippers),Euphyes,vestris,2.9,3.5,cm
Hesperiidae (Skippers),Pyrrhocalles,antiqua,NA,NA,NA
Hesperiidae (Skippers),Asbolis,capucinus,4.8,6,cm
Hesperiidae (Skippers),Cynea,irma,NA,NA,NA
Hesperiidae (Skippers),Cynea,megalops,NA,NA,NA
Hesperiidae (Skippers),Atrytonopsis,hianna,3.2,4.3,cm
Hesperiidae (Skippers),Atrytonopsis,loammi,NA,NA,NA
Hesperiidae (Skippers),Atrytonopsis,deva,3.2,4.5,cm
Hesperiidae (Skippers),Atrytonopsis,lunus,4.2,5.1,cm
Hesperiidae (Skippers),Atrytonopsis,vierecki,3.2,4.2,cm
Hesperiidae (Skippers),Atrytonopsis,pittacus,3.2,3.8,cm
Hesperiidae (Skippers),Atrytonopsis,python,3.5,4.2,cm
Hesperiidae (Skippers),Atrytonopsis,cestus,3.5,3.9,cm
Hesperiidae (Skippers),Atrytonopsis,edwardsi,3.2,3.8,cm
Hesperiidae (Skippers),Remella,duena,NA,NA,NA
Hesperiidae (Skippers),Remella,vopiscus,NA,NA,NA
Hesperiidae (Skippers),Amblyscirtes,exoteria,3.2,3.8,cm
Hesperiidae (Skippers),Amblyscirtes,cassus,2.5,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,aenus,2.5,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,linda,2.9,3.4,cm
Hesperiidae (Skippers),Amblyscirtes,oslari,2.5,3.5,cm
Hesperiidae (Skippers),Amblyscirtes,elissa,2.2,2.9,cm
Hesperiidae (Skippers),Amblyscirtes,hegon,2.5,3.1,cm
Hesperiidae (Skippers),Amblyscirtes,texanae,2.5,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,carolina,2.9,3.7,cm
Hesperiidae (Skippers),Amblyscirtes,reversa,2.9,3.5,cm
Hesperiidae (Skippers),Amblyscirtes,aesculapius,3,3.8,cm
Hesperiidae (Skippers),Amblyscirtes,nereus,2.5,2.9,cm
Hesperiidae (Skippers),Amblyscirtes,nysa,1.9,3,cm
Hesperiidae (Skippers),Amblyscirtes,eos,2.2,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,vialis,2.2,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,alternata,2.2,2.5,cm
Hesperiidae (Skippers),Amblyscirtes,celia,2.2,2.7,cm
Hesperiidae (Skippers),Amblyscirtes,belli,3,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,tolteca,2.5,3.2,cm
Hesperiidae (Skippers),Amblyscirtes,phylace,2.2,2.9,cm
Hesperiidae (Skippers),Amblyscirtes,fimbriata,2.9,3.2,cm
