family,genus,species,lower,upper,unit
Nymphalidae (Brush-footed Butterflies),Asterocampa,clyton,4.2,7,cm
Nymphalidae (Brush-footed Butterflies),Asterocampa,idyja,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Doxocopa,thoe,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Doxocopa,pavon,5.6,6.9,cm
Nymphalidae (Brush-footed Butterflies),Doxocopa,cyane,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Doxocopa,callianira,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Doxocopa,laure,7,8.2,cm
Nymphalidae (Brush-footed Butterflies),Biblis,hyperia,5.1,7.6,cm
Nymphalidae (Brush-footed Butterflies),Mestra,amymone,3.5,5,cm
Nymphalidae (Brush-footed Butterflies),Archimestra,teleboas,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Catonephele,mexicana,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Catonephele,numilia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Eunica,tatila,4,6.2,cm
Nymphalidae (Brush-footed Butterflies),Eunica,monima,4.8,5.1,cm
Nymphalidae (Brush-footed Butterflies),Eunica,alcmena,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Myscelia,cyananthe,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Myscelia,cyaniris,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Myscelia,ethusa,6.4,7.6,cm
Nymphalidae (Brush-footed Butterflies),Myscelia,aracynthia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hamadryas,februa,7,8.6,cm
Nymphalidae (Brush-footed Butterflies),Hamadryas,amphichloe,7.5,8.6,cm
Nymphalidae (Brush-footed Butterflies),Hamadryas,glauconome,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hamadryas,atlantis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hamadryas,feronia,7.3,8.3,cm
Nymphalidae (Brush-footed Butterflies),Hamadryas,guatemalena,7.6,9.8,cm
Nymphalidae (Brush-footed Butterflies),Hamadryas,iphthime,7,8,cm
Nymphalidae (Brush-footed Butterflies),Hamadryas,fornax,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hamadryas,amphinome,7.8,8.6,cm
Nymphalidae (Brush-footed Butterflies),Bolboneura,sylphis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Epiphile,adrasta,5.7,6.7,cm
Nymphalidae (Brush-footed Butterflies),Lucinia,sida,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Pyrrhogyra,neaerea,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Nica,flavilla,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Temenis,laothoe,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Dynamine,theseus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Dynamine,tithia,2.9,3.3,cm
Nymphalidae (Brush-footed Butterflies),Dynamine,postverta,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Dynamine,artemesia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Dynamine,dyonis,4.1,4.8,cm
Nymphalidae (Brush-footed Butterflies),Callicore,lyca,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Callicore,astarte,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Callicore,pitheas,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Callicore,texa,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Callicore,tolima,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Diaethria,anna,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Diaethria,clymena,3.8,4.4,cm
Nymphalidae (Brush-footed Butterflies),Diaethria,asteria,4.1,4.3,cm
Nymphalidae (Brush-footed Butterflies),Diaethria,astala,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Diaethria,bacchis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Diaethria,pandama,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Colobura,dirce,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Colobura,annulata,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hypanartia,dione,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hypanartia,godmanii,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hypanartia,paullus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hypanartia,lethe,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Poladryas,minuta,3.2,4.8,cm
Nymphalidae (Brush-footed Butterflies),Poladryas,arachne,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,janais,4.8,6.7,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,ehrenbergi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,definita,3,3.8,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,eumeda,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,marina,3.3,3.5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,melitaeoides,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,erodyle,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,poecile,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,endeis,3,3.9,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,melanarge,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,hippodrome,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Chlosyne,rosita,3.7,5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,theona,3.2,4.4,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,cyneas,3.5,4.2,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,fulvia,3.2,5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,leanira,3.5,4.5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,nycteis,3.5,5.1,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,gorgone,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,californica,3.2,5.1,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,lacinia,3.5,5.1,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,harrisii,3.6,5.1,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,hoffmanni,3.5,4.5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,whitneyi,3.2,4.1,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,acastus,3.9,5.1,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,gabbii,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Chlosyne,palla,3.5,4.8,cm
Nymphalidae (Brush-footed Butterflies),Microtia,elva,2.5,3.7,cm
Nymphalidae (Brush-footed Butterflies),Dymasia,dymas,2.3,3.5,cm
Nymphalidae (Brush-footed Butterflies),Texola,elada,2.2,3.2,cm
Nymphalidae (Brush-footed Butterflies),Antillea,pelops,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Eresia,clio,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Eresia,ithomioides,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Eresia,phillyra,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Castilia,eranites,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Castilia,ofella,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Castilia,myia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Castilia,griseobasalis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Janatella,leucodesma,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Phyciodes,graphica,2.2,3.8,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,picta,2.5,3.8,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,orseis,3.2,4.2,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,pallida,3.5,4.1,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,mylitta,3,3.8,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,phaon,2.5,3.8,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,pallescens,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Phyciodes,tharos,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,cocyta,3.2,4.8,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,incognitus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Phyciodes,batesii,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Phyciodes,pulchella,2.5,4.5,cm
Nymphalidae (Brush-footed Butterflies),Anthanassa,texana,3.2,4.8,cm
Nymphalidae (Brush-footed Butterflies),Anthanassa,drusilla,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anthanassa,drymaea,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anthanassa,ptolyca,3.2,3.5,cm
Nymphalidae (Brush-footed Butterflies),Anthanassa,sitalces,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anthanassa,argentea,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anthanassa,atronia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anthanassa,frisia,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Anthanassa,tulcis,3.2,3.5,cm
Nymphalidae (Brush-footed Butterflies),Tegosa,anieta,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Tegosa,guatemalena,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Euphydryas,gillettii,3.8,4.8,cm
Nymphalidae (Brush-footed Butterflies),Euphydryas,phaeton,4.5,7,cm
Nymphalidae (Brush-footed Butterflies),Euphydryas,editha,3.2,5.1,cm
Nymphalidae (Brush-footed Butterflies),Euphydryas,chalcedona,3.2,5.7,cm
Nymphalidae (Brush-footed Butterflies),Euphydryas,anicia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Euphydryas,colon,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hypolimnas,misippus,5.6,9,cm
Nymphalidae (Brush-footed Butterflies),Junonia,coenia,4.2,7,cm
Nymphalidae (Brush-footed Butterflies),Junonia,genoveva,3.5,5.7,cm
Nymphalidae (Brush-footed Butterflies),Junonia,evarete,4.5,5.7,cm
Nymphalidae (Brush-footed Butterflies),Anartia,jatrophae,5.1,7,cm
Nymphalidae (Brush-footed Butterflies),Anartia,fatima,6,7,cm
Nymphalidae (Brush-footed Butterflies),Anartia,chrysopelea,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anartia,lytrea,6.2,7.4,cm
Nymphalidae (Brush-footed Butterflies),Siproeta,stelenes,8.3,10.1,cm
Nymphalidae (Brush-footed Butterflies),Siproeta,epaphus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Polygonia,interrogationis,5.7,7.6,cm
Nymphalidae (Brush-footed Butterflies),Polygonia,comma,4.5,6.4,cm
Nymphalidae (Brush-footed Butterflies),Polygonia,satyrus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Polygonia,faunus,4.5,6.4,cm
Nymphalidae (Brush-footed Butterflies),Polygonia,gracilis,3.9,5.7,cm
Nymphalidae (Brush-footed Butterflies),Polygonia,zephyrus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Polygonia,progne,4.4,6.3,cm
Nymphalidae (Brush-footed Butterflies),Polygonia,oreas,4.2,4.8,cm
Nymphalidae (Brush-footed Butterflies),Aglais,milberti,4.2,6.3,cm
Nymphalidae (Brush-footed Butterflies),Aglais,urticae,5,6,cm
Nymphalidae (Brush-footed Butterflies),Nymphalis,vaualbum,6.4,7.8,cm
Nymphalidae (Brush-footed Butterflies),Nymphalis,antiopa,5.7,10.1,cm
Nymphalidae (Brush-footed Butterflies),Nymphalis,californica,3.2,7,cm
Nymphalidae (Brush-footed Butterflies),Vanessa,atalanta,4.5,7.6,cm
Nymphalidae (Brush-footed Butterflies),Vanessa,cardui,5.1,7.3,cm
Nymphalidae (Brush-footed Butterflies),Vanessa,annabella,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Vanessa,virginiensis,4.5,6.7,cm
Nymphalidae (Brush-footed Butterflies),Inachis,io,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Consul,electra,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Consul,fabius,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hypna,clytemnestra,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Siderone,galanthis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Zaretis,ellops,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anaea,troglodyta,7.6,9,cm
Nymphalidae (Brush-footed Butterflies),Anaea,troglodyta,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Anaea,aidea,5.7,7.8,cm
Nymphalidae (Brush-footed Butterflies),Anaea,andria,6,8.2,cm
Nymphalidae (Brush-footed Butterflies),Memphis,eurypyle,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Memphis,glycerium,5.9,8.1,cm
Nymphalidae (Brush-footed Butterflies),Memphis,echemus,5.7,7,cm
Nymphalidae (Brush-footed Butterflies),Memphis,intermedia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Memphis,pithyusa,5.7,7.6,cm
Nymphalidae (Brush-footed Butterflies),Memphis,forreri,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Archaeoprepona,demophon,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Archaeoprepona,demophoon,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hermeuptychia,intricata,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Manataria,hercyna,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Morpho,deidamia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Caligo,brasiliensis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Caligo,telamonius,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Caligo,atreus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cithaerias,pireta,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Pierella,helvina,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Pierella,luna,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Enodia,portlandia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Enodia,anthedon,4.5,6.7,cm
Nymphalidae (Brush-footed Butterflies),Enodia,creola,5.9,7,cm
Nymphalidae (Brush-footed Butterflies),Satyrodes,eurydice,3.8,6.2,cm
Nymphalidae (Brush-footed Butterflies),Satyrodes,appalachia,4.8,5.7,cm
Nymphalidae (Brush-footed Butterflies),Coenonympha,haydenii,3.5,3.8,cm
Nymphalidae (Brush-footed Butterflies),Coenonympha,tullia,3.4,3.8,cm
Nymphalidae (Brush-footed Butterflies),Cyllopsis,caballeroi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cyllopsis,gemma,3.5,4.3,cm
Nymphalidae (Brush-footed Butterflies),Cyllopsis,hedemanni,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cyllopsis,hilaria,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cyllopsis,nayarit,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cyllopsis,nelsoni,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cyllopsis,pephredo,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cyllopsis,pertepida,3.8,4.5,cm
Nymphalidae (Brush-footed Butterflies),Cyllopsis,pyracmon,3.8,4.5,cm
Nymphalidae (Brush-footed Butterflies),Paramacera,xicaque,3.5,4.8,cm
Nymphalidae (Brush-footed Butterflies),Neonympha,areolatus,3.7,4.9,cm
Nymphalidae (Brush-footed Butterflies),Neonympha,helicta,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Neonympha,mitchellii,3.5,4.5,cm
Nymphalidae (Brush-footed Butterflies),Megisto,cymela,3.8,4.8,cm
Nymphalidae (Brush-footed Butterflies),Megisto,viola,4.3,5,cm
Nymphalidae (Brush-footed Butterflies),Megisto,rubricata,3.5,4.8,cm
Nymphalidae (Brush-footed Butterflies),Euptychia,westwoodi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Euptychia,insolata,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Hermeuptychia,sosybius,3.2,3.8,cm
Nymphalidae (Brush-footed Butterflies),Hermeuptychia,hermes,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cissia,pseudoconfusa,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cissia,pompilia,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Magneuptychia,libye,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Cepheuptychia,glaucina,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Pareuptychia,metaleuca,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Pareuptychia,ocirrhoe,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Satyrotaygetis,satyrina,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Taygetis,thamyra,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,vidleri,4.1,4.8,cm
Nymphalidae (Brush-footed Butterflies),Erebia,rossii,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,disa,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,mancinus,4.1,4.5,cm
Nymphalidae (Brush-footed Butterflies),Erebia,magdalena,4.5,5.1,cm
Nymphalidae (Brush-footed Butterflies),Erebia,mackinleyensis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,fasciata,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,epipsodea,4.2,5.1,cm
Nymphalidae (Brush-footed Butterflies),Erebia,discoidalis,3.8,4.9,cm
Nymphalidae (Brush-footed Butterflies),Erebia,pawlowskii,3.2,4.6,cm
Nymphalidae (Brush-footed Butterflies),Erebia,youngi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,lafontainei,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,occulta,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Erebia,callias,3.5,3.8,cm
Nymphalidae (Brush-footed Butterflies),Erebia,kozhantshikovi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Neominois,ridingsii,3.8,5.6,cm
Nymphalidae (Brush-footed Butterflies),Neominois,wyomingo,3.7,4.3,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,philipi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Oeneis,polixenes,4.2,5.4,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,jutta,4.8,6,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,melissa,4.2,5.1,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,alpina,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Oeneis,bore,3.7,4.8,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,chryxus,4.5,5.4,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,alberta,3.5,5.7,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,nevadensis,5.7,6.3,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,macounii,5.7,7,cm
Nymphalidae (Brush-footed Butterflies),Oeneis,uhleri,3.8,5.6,cm
Nymphalidae (Brush-footed Butterflies),Cercyonis,pegala,4.5,7.6,cm
Nymphalidae (Brush-footed Butterflies),Cercyonis,meadii,3.5,4.5,cm
Nymphalidae (Brush-footed Butterflies),Cercyonis,sthenele,3.5,4.5,cm
Nymphalidae (Brush-footed Butterflies),Cercyonis,oetus,3.2,4.5,cm
Nymphalidae (Brush-footed Butterflies),Gyrocheilus,patrobas,5.1,6,cm
Nymphalidae (Brush-footed Butterflies),Oxeoschistus,tauropolis,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Drucina,championi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Calisto,pulchella,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Calisto,confusa,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Calisto,obscura,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Calisto,batesi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Calisto,herophile,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Calisto,grannus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Morpho,polyphemus,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Morpho,helenor,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Opsiphanes,boisduvallii,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Opsiphanes,cassina,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Opsiphanes,tamarindi,NA,NA,NA
Nymphalidae (Brush-footed Butterflies),Pseudomarimatha,flava,NA,NA,NA