Site_Number,Site,Year,Month,Day,Season_Sampled
1,AtascosaHighlandsAZ,1983,7,30,Fall
1,AtascosaHighlandsAZ,1984,8,5,Fall
1,AtascosaHighlandsAZ,1985,8,17,Fall
1,AtascosaHighlandsAZ,1986,8,30,Fall
1,AtascosaHighlandsAZ,1987,8,22,Fall
1,AtascosaHighlandsAZ,1988,8,13,Fall
1,AtascosaHighlandsAZ,1989,8,20,Fall
1,AtascosaHighlandsAZ,1990,8,18,Fall
1,AtascosaHighlandsAZ,1991,8,10,Fall
1,AtascosaHighlandsAZ,1992,8,16,Fall
1,AtascosaHighlandsAZ,1993,8,14,Fall
1,AtascosaHighlandsAZ,1994,8,13,Fall
1,AtascosaHighlandsAZ,1995,8,20,Fall
1,AtascosaHighlandsAZ,1996,8,18,Fall
1,AtascosaHighlandsAZ,1997,8,16,Fall
1,AtascosaHighlandsAZ,1998,8,15,Fall
1,AtascosaHighlandsAZ,1999,8,14,Fall
1,AtascosaHighlandsAZ,2000,8,19,Fall
1,AtascosaHighlandsAZ,2001,8,18,Fall
2,BoyceThompsonArboretum,2007,8,11,Fall
2,BoyceThompsonArboretum,2009,9,12,Fall
2,BoyceThompsonArboretum,2010,9,11,Fall
2,BoyceThompsonArboretum,2011,9,10,Fall
2,BoyceThompsonArboretum,2012,9,15,Fall
2,BoyceThompsonArboretum,2013,9,7,Fall
2,BoyceThompsonArboretum,2014,9,6,Fall
2,BoyceThompsonArboretum,2015,9,12,Fall
2,BoyceThompsonArboretum,2016,9,10,Fall
2,BoyceThompsonArboretum,2017,9,9,Fall
2,BoyceThompsonArboretum,2018,9,8,Fall
2,BoyceThompsonArboretum,2019,9,7,Fall
2,BoyceThompsonArboretum,2020,9,12,Fall
2,BoyceThompsonArboretum,2021,9,11,Fall
3,Cottonwood,2017,9,4,Fall
3,Cottonwood,2018,8,30,Fall
3,Cottonwood,2019,8,29,Fall
3,Cottonwood,2020,8,26,Fall
3,Cottonwood,2021,8,26,Fall
4,GrandCanyonDesertView,2015,5,31,Spring
5,GrandCanyonNorthRim,2019,7,25,Fall
5,GrandCanyonNorthRim,2021,7,31,Fall
6,GrandCanyonSouthRim,2014,9,6,Fall
6,GrandCanyonSouthRim,2015,8,16,Fall
6,GrandCanyonSouthRim,2015,6,14,Spring
7,McDowellSonoranPreserve,2014,9,20,Fall
7,McDowellSonoranPreserve,2015,10,3,Fall
7,McDowellSonoranPreserve,2016,9,17,Fall
7,McDowellSonoranPreserve,2017,9,23,Fall
7,McDowellSonoranPreserve,2017,4,8,Spring
7,McDowellSonoranPreserve,2018,9,29,Fall
7,McDowellSonoranPreserve,2018,9,29,Fall
7,McDowellSonoranPreserve,2018,4,7,Spring
7,McDowellSonoranPreserve,2019,9,28,Fall
7,McDowellSonoranPreserve,2019,4,6,Spring
7,McDowellSonoranPreserve,2020,9,26,Fall
7,McDowellSonoranPreserve,2020,4,4,Spring
7,McDowellSonoranPreserve,2021,9,25,Fall
7,McDowellSonoranPreserve,2021,4,3,Spring
8,PatagoniaAZ,1986,8,23,Fall
8,PatagoniaAZ,1987,8,15,Fall
8,PatagoniaAZ,1988,8,6,Fall
8,PatagoniaAZ,1989,8,13,Fall
8,PatagoniaAZ,1990,8,11,Fall
8,PatagoniaAZ,1991,8,6,Fall
8,PatagoniaAZ,1992,8,9,Fall
8,PatagoniaAZ,1993,8,7,Fall
8,PatagoniaAZ,1994,8,6,Fall
8,PatagoniaAZ,1995,8,13,Fall
8,PatagoniaAZ,1996,8,11,Fall
8,PatagoniaAZ,1997,8,9,Fall
8,PatagoniaAZ,1998,8,8,Fall
8,PatagoniaAZ,1999,8,9,Fall
8,PatagoniaAZ,2000,8,12,Fall
8,PatagoniaAZ,2001,8,11,Fall
8,PatagoniaAZ,2002,8,10,Fall
8,PatagoniaAZ,2003,8,9,Fall
8,PatagoniaAZ,2004,8,7,Fall
8,PatagoniaAZ,2005,8,6,Fall
8,PatagoniaAZ,2006,8,5,Fall
8,PatagoniaAZ,2007,8,18,Fall
8,PatagoniaAZ,2008,8,9,Fall
8,PatagoniaAZ,2009,8,8,Fall
8,PatagoniaAZ,2010,8,7,Fall
8,PatagoniaAZ,2011,8,6,Fall
8,PatagoniaAZ,2012,8,11,Fall
8,PatagoniaAZ,2013,8,10,Fall
8,PatagoniaAZ,2014,8,9,Fall
8,PatagoniaAZ,2015,8,11,Fall
8,PatagoniaAZ,2016,8,8,Fall
8,PatagoniaAZ,2017,8,7,Fall
8,PatagoniaAZ,2018,8,12,Fall
8,PatagoniaAZ,2019,8,6,Fall
8,PatagoniaAZ,2021,8,9,Fall
9,PortalAZ,1999,8,28,Fall
9,PortalAZ,2000,7,29,Fall
9,PortalAZ,2001,7,28,Fall
9,PortalAZ,2002,7,27,Fall
9,PortalAZ,2003,7,26,Fall
9,PortalAZ,2004,8,14,Fall
9,PortalAZ,2005,8,13,Fall
9,PortalAZ,2009,7,25,Fall
9,PortalAZ,2012,7,28,Fall
9,PortalAZ,2013,7,27,Fall
9,PortalAZ,2014,7,26,Fall
9,PortalAZ,2015,8,2,Fall
9,PortalAZ,2016,7,23,Fall
9,PortalAZ,2017,7,23,Fall
9,PortalAZ,2018,7,27,Fall
9,PortalAZ,2019,7,25,Fall
9,PortalAZ,2020,8,2,Fall
9,PortalAZ,2021,8,6,Fall
10,RamseyCanyonAZ,1981,7,19,Fall
10,RamseyCanyonAZ,1983,8,6,Fall
10,RamseyCanyonAZ,1984,8,11,Fall
10,RamseyCanyonAZ,1985,8,10,Fall
10,RamseyCanyonAZ,1986,8,16,Fall
10,RamseyCanyonAZ,1987,8,9,Fall
10,RamseyCanyonAZ,1988,7,30,Fall
10,RamseyCanyonAZ,1989,8,6,Fall
10,RamseyCanyonAZ,1990,8,4,Fall
10,RamseyCanyonAZ,1991,7,30,Fall
10,RamseyCanyonAZ,1992,8,2,Fall
10,RamseyCanyonAZ,1993,7,31,Fall
10,RamseyCanyonAZ,1994,7,30,Fall
10,RamseyCanyonAZ,1995,8,6,Fall
10,RamseyCanyonAZ,1996,8,5,Fall
10,RamseyCanyonAZ,1997,8,2,Fall
10,RamseyCanyonAZ,1998,8,1,Fall
10,RamseyCanyonAZ,1999,8,3,Fall
10,RamseyCanyonAZ,2000,8,5,Fall
10,RamseyCanyonAZ,2001,8,4,Fall
10,RamseyCanyonAZ,2002,8,3,Fall
10,RamseyCanyonAZ,2003,8,2,Fall
10,RamseyCanyonAZ,2004,7,31,Fall
10,RamseyCanyonAZ,2005,7,31,Fall
10,RamseyCanyonAZ,2006,7,29,Fall
10,RamseyCanyonAZ,2007,8,11,Fall
10,RamseyCanyonAZ,2008,8,2,Fall
10,RamseyCanyonAZ,2009,8,1,Fall
10,RamseyCanyonAZ,2010,7,31,Fall
10,RamseyCanyonAZ,2011,7,30,Fall
10,RamseyCanyonAZ,2012,8,4,Fall
10,RamseyCanyonAZ,2013,8,3,Fall
10,RamseyCanyonAZ,2014,8,2,Fall
10,RamseyCanyonAZ,2015,8,6,Fall
10,RamseyCanyonAZ,2016,8,1,Fall
10,RamseyCanyonAZ,2017,8,1,Fall
10,RamseyCanyonAZ,2018,8,6,Fall
10,RamseyCanyonAZ,2019,8,1,Fall
10,RamseyCanyonAZ,2020,7,28,Fall
10,RamseyCanyonAZ,2021,8,2,Fall
11,SabinoCanyonAZ,1991,7,27,Fall
11,SabinoCanyonAZ,1992,7,26,Fall
11,SabinoCanyonAZ,1993,7,30,Fall
11,SabinoCanyonAZ,1994,7,22,Fall
11,SabinoCanyonAZ,1995,7,29,Fall
11,SabinoCanyonAZ,1996,7,27,Fall
11,SabinoCanyonAZ,1997,7,26,Fall
11,SabinoCanyonAZ,1998,8,1,Fall
11,SabinoCanyonAZ,2000,7,26,Fall
11,SabinoCanyonAZ,2001,7,18,Fall
11,SabinoCanyonAZ,2002,7,31,Fall
11,SabinoCanyonAZ,2008,7,19,Fall
11,SabinoCanyonAZ,2009,7,18,Fall
11,SabinoCanyonAZ,2010,7,17,Fall
11,SabinoCanyonAZ,2011,7,16,Fall
11,SabinoCanyonAZ,2011,4,2,Spring
11,SabinoCanyonAZ,2012,7,21,Fall
11,SabinoCanyonAZ,2012,3,25,Spring
11,SabinoCanyonAZ,2013,7,20,Fall
11,SabinoCanyonAZ,2013,4,7,Spring
11,SabinoCanyonAZ,2014,7,19,Fall
11,SabinoCanyonAZ,2014,4,6,Spring
11,SabinoCanyonAZ,2015,7,18,Fall
11,SabinoCanyonAZ,2015,3,29,Spring
11,SabinoCanyonAZ,2016,7,16,Fall
11,SabinoCanyonAZ,2016,4,3,Spring
11,SabinoCanyonAZ,2017,7,15,Fall
11,SabinoCanyonAZ,2017,3,26,Spring
11,SabinoCanyonAZ,2018,7,31,Fall
11,SabinoCanyonAZ,2018,4,3,Spring
11,SabinoCanyonAZ,2019,7,23,Fall
11,SabinoCanyonAZ,2020,7,29,Fall
11,SabinoCanyonAZ,2020,4,3,Spring
11,SabinoCanyonAZ,2021,7,26,Fall
11,SabinoCanyonAZ,2021,3,28,Spring
12,SantaRitaMountains,2011,7,31,Fall
12,SantaRitaMountains,2012,7,29,Fall
12,SantaRitaMountains,2013,7,28,Fall
12,SantaRitaMountains,2014,7,27,Fall
12,SantaRitaMountains,2015,7,26,Fall
12,SantaRitaMountains,2016,7,31,Fall
12,SantaRitaMountains,2017,7,26,Fall
12,SantaRitaMountains,2018,7,29,Fall
12,SantaRitaMountains,2019,7,28,Fall
12,SantaRitaMountains,2020,7,31,Fall
12,SantaRitaMountains,2021,7,31,Fall
13,SycamoreCreekAZ,1999,7,23,Fall
13,SycamoreCreekAZ,2000,7,22,Fall
13,SycamoreCreekAZ,2004,7,28,Fall
